epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7699,3.00068,7.45213,2.67587,0.03455,0.91416,0.32401,0.16934,2.77207,6.30884,2.52241,0.000544981,0.000544981,0.000544981
2,29.7869,2.92957,5.22123,2.53308,0.85713,0.31711,0.3816,0.20114,3.06738,4.4192,2.58052,0.0010952,0.0010952,0.0010952
3,43.8198,2.93486,4.37652,2.53906,0.41868,0.48176,0.35164,0.15808,3.41943,4.6818,2.89916,0.00163992,0.00163992,0.00163992
4,57.6993,2.96941,3.72494,2.58211,0.53842,0.55263,0.50659,0.28932,3.00732,3.60845,2.68203,0.00164225,0.00164225,0.00164225
5,71.5074,2.93973,3.07232,2.56125,0.68406,0.61573,0.6388,0.29414,3.23007,2.81,2.80478,0.00163399,0.00163399,0.00163399
6,85.4364,2.87956,2.65381,2.5462,0.55863,0.67327,0.55481,0.31279,2.99743,2.25078,2.63733,0.00162574,0.00162574,0.00162574
7,99.3807,2.83544,2.31739,2.49912,0.80145,0.74729,0.80428,0.4665,2.92045,1.83447,2.59546,0.00161749,0.00161749,0.00161749
8,113.105,2.85468,2.16037,2.52646,0.75231,0.70828,0.74009,0.40991,2.97082,1.77089,2.60617,0.00160924,0.00160924,0.00160924
9,127.165,2.84785,2.01946,2.51381,0.844,0.76175,0.82141,0.46885,2.82502,1.67699,2.54127,0.00160099,0.00160099,0.00160099
10,140.892,2.75351,1.88788,2.48137,0.78313,0.76194,0.7539,0.43638,2.8301,1.67476,2.54599,0.00159274,0.00159274,0.00159274
11,154.815,2.80604,1.81231,2.49572,0.89348,0.7734,0.85131,0.47653,2.82452,1.57114,2.51265,0.00158448,0.00158448,0.00158448
12,168.594,2.72779,1.76628,2.47765,0.87499,0.7653,0.84508,0.50245,2.83047,1.54377,2.56787,0.00157623,0.00157623,0.00157623
13,182.548,2.74985,1.72552,2.48772,0.638,0.7323,0.7095,0.4066,2.90882,1.8472,2.55771,0.00156798,0.00156798,0.00156798
14,196.441,2.72696,1.70484,2.52036,0.6623,0.73071,0.77866,0.46698,2.75278,1.76588,2.52448,0.00155973,0.00155973,0.00155973
15,210.162,2.7366,1.62198,2.48394,0.7384,0.80495,0.83603,0.50488,2.73366,1.397,2.51675,0.00155148,0.00155148,0.00155148
16,224.054,2.75527,1.63197,2.49721,0.77987,0.59664,0.72729,0.43489,2.84638,1.77486,2.49388,0.00154323,0.00154323,0.00154323
